x,result
-3.0,-1.2891226806582208
-2.9,-1.4911390609019743
-2.8,-1.679223074905179
-2.6999999999999997,-1.8419691434629415
-2.5999999999999996,-1.968054831235327
-2.4999999999999996,-2.0470147142857695
-2.3999999999999995,-2.0699957168903014
-2.2999999999999994,-2.0304678983446833
-2.1999999999999993,-1.9247845080293904
-2.099999999999999,-1.7525966724598918
-1.9999999999999991,-1.5170277269086228
-1.899999999999999,-1.2246466490612347
-1.799999999999999,-0.8851956535451557
-1.6999999999999988,-0.5110908841621068
-1.5999999999999988,-0.11675189807023745
-1.4999999999999987,0.2822383557109019
-1.3999999999999986,0.6700110942634239
-1.2999999999999985,1.0313578035748407
-1.1999999999999984,1.3525998927586111
-1.0999999999999983,1.6223614434437061
-0.9999999999999983,1.8321733953317152
-0.8999999999999984,1.976880001152548
-0.7999999999999984,2.054805467006429
-0.6999999999999984,2.0677141583790277
-0.5999999999999984,2.0205092629114283
-0.49999999999999845,1.920764963786955
-0.39999999999999847,1.7780937632200475
-0.2999999999999985,1.6034097885305636
-0.19999999999999848,1.408167284152414
-0.09999999999999848,1.2035900811900835
1.5265566588595902E-15,-6511.228207520382
0.10000000000000153,-0.3157151703045521
0.20000000000000154,-0.02411371240972286
0.30000000000000154,-2.1158315467323196E-4
0.4000000000000016,0.0010963771191941929
0.5000000000000016,0.012058922159971078
0.6000000000000015,0.03673740693011799
0.7000000000000015,0.07388449988914969
0.8000000000000015,0.12138868651082192
0.9000000000000015,0.1772752774215347
1.0000000000000016,0.0
1.1000000000000016,0.3078531272432821
1.2000000000000017,0.38019735240699193
1.3000000000000018,0.4560215163152126
1.400000000000002,0.534648444266157
1.500000000000002,0.6155278725835814
1.600000000000002,0.6982131744660061
1.7000000000000022,0.7823380236058957
1.8000000000000023,0.8676015819245986
1.9000000000000024,0.953754279277884
2.000000000000002,1.0405889707984233
2.1000000000000023,1.1279323829610246
2.2000000000000024,1.2156383292983095
2.3000000000000025,1.3035849568707683
2.4000000000000026,1.3916694208500937
2.5000000000000027,1.4798017383968953
2.6000000000000028,1.567909469741402
2.700000000000003,1.6559288879612504
2.800000000000003,1.7438057897470554
2.900000000000003,1.8314943667169998
